,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
0,"The Hosteller Bangalore, Brigade Road",Bangalore,2793,335,3128,8.9,Fabulous ,154 ,1.1
1,VOVO PREMIER HOTEL,Bangalore,2025,243,2268,8.6,Fabulous ,327 ,2.7
2,Vera by Bisque Hebbal - Manyata Tech Park,Bangalore,2699,324,3023,8.7,Fabulous ,69 ,7.3
3,Regenta Inn Indiranagar Bangalore,Bangalore,3146,378,3524,8.3,Very good ,1051 ,4.2
4,Hotel Chetan International,Bangalore,1280,154,1434,6.9,Good ,767 ,2.6
5,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",Bangalore,9000,1620,10620,8.2,Very good ,1369 ,2.6
6,"The Hosteller Bangalore, Koramangala",Bangalore,2692,325,3017,8.7,Fabulous ,79 ,4.7
7,Hyatt Centric MG Road Bangalore,Bangalore,6075,729,6804,7.9,Good ,1194 ,2.2
8,Collection O Hotel Blueberry Near 7D Voyage,Bangalore,1160,173,1333,8.0,Very good ,185 ,11.7
9,Yello! ITPL,Bangalore,1347,162,1509,8.0,Very good ,3 ,14.2
10,The Leela Bhartiya City Bengaluru,Bangalore,11000,1980,12980,9.1,Superb ,391 ,12.7
11,Radisson Blu Atria Bengaluru,Bangalore,6250,750,7000,8.1,Very good ,1542 ,1.7
12,The Oberoi Bengaluru,Bangalore,12000,2160,14160,9.3,Superb ,2072 ,1.8
13,Vivanta Bengaluru Residency Road,Bangalore,7500,900,8400,8.0,Very good ,937 ,0.8
14,Olive Electronic City - by Embassy Group,Bangalore,2514,302,2816,9.2,Superb ,203 ,16.2
15,Radisson Bengaluru City Center,Bangalore,8000,1440,9440,8.4,Very good ,1141 ,1.9
16,Narthaki Boutique Hotel,Bangalore,2030,244,2274,8.1,Very good ,111 ,2.7
17,The Curzon Court,Bangalore,2200,330,2530,7.4,Good ,127 ,0.7
18,Radisson Blu Bengaluru Outer Ring Road,Bangalore,9000,1620,10620,7.9,Good ,977 ,10.9
19,Bloom Hotel - Brookefield,Bangalore,3015,362,3377,8.7,Fabulous ,150 ,12
20,Tulip Inn Koramangala,Bangalore,3150,378,3528,7.7,Good ,245 ,5.2
21,Casa Cottage,Bangalore,4550,546,5096,8.1,Very good ,314 ,1.4
22,FabHotel Phoenix Resorts,Bangalore,2273,273,2546,7.3,Good ,368 ,0.6
23,Olive HAL 2nd Stage - by Embassy Group,Bangalore,2763,332,3095,8.6,Fabulous ,154 ,5.3
24,Renaissance Bengaluru Race Course Hotel,Bangalore,9000,1620,10620,8.6,Fabulous ,336 ,2.9
25,Olive Kalyan Nagar - By Embassy Group,Bangalore,2262,271,2533,7.2,Good ,264 ,6.3
26,Taj Yeshwantpur Bengaluru,Bangalore,7000,840,7840,8.7,Fabulous ,916 ,8.9
27,"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",Bangalore,8500,1530,10030,8.2,Very good ,2087 ,1.6
28,Hotel Sigma Suites,Bangalore,1350,162,1512,7.7,Good ,172 ,2.8
29,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru",Bangalore,11700,2106,13806,8.5,Very good ,1325 ,1.2
30,Nalapad's Hotel Bangalore International - Managed by Olive,Bangalore,2500,300,2800,6.7,Good ,66 ,2.6
31,Collection O The Mass Residency By D2v,Bangalore,914,144,1058,4.5,Good ,13 ,5.9
32,Melange Luxury Serviced Apartments,Bangalore,5400,648,6048,8.1,Very good ,212 ,0.9
33,OYO Flagship Varcity Pearl Near Nexus Mall Koramangala,Bangalore,1010,155,1165,8.3,Very good ,163 ,5.4
34,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,Bangalore,6999,840,7839,8.5,Very good ,950 ,6.6
35,FabHotel Corporate Crown Koramangala,Bangalore,1819,218,2037,8.9,Fabulous ,858 ,4.9
36,"Treebo Trend Blu Orchid - 4 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,2394,287,2681,7.8,Good ,568 ,4
37,Ramada Encore Domlur Bangalore,Bangalore,4000,480,4480,8.1,Very good ,508 ,4.9
38,Olive Rest House Road by Embassy Group,Bangalore,2357,283,2640,6.9,Good ,460 ,0.6
39,ABM Express Inn,Bangalore,1655,199,1854,7.2,Good ,223 ,2.8
40,Olive Indiranagar - By Embassy Group,Bangalore,2685,322,3007,7.7,Good ,1179 ,4.8
41,Taj MG Road Bengaluru,Bangalore,11000,1980,12980,8.7,Fabulous ,826 ,2
42,FabHotel The BTM Palace,Bangalore,1933,232,2165,8.8,Fabulous ,481 ,6.7
43,FabHotel GRK Comforts,Bangalore,1521,183,1704,8.3,Very good ,847 ,6.4
