,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
0,Courtyard by Marriott Chennai,Chennai,6000,1080,10915,8.2,Very good ,1384 ,1.7
1,"Radisson Blu Hotel GRT, Chennai International Airport",Chennai,9250,1665,6720,8.9,Fabulous ,422 ,7.2
2,Taj Club House,Chennai,6000,720,762,7.9,Good ,1412 ,4
3,Hotel Ambika Palace,Chennai,680,82,4536,7.8,Good ,53 ,2
4,Citadines OMR Chennai,Chennai,4050,486,546,8.4,Very good ,2261 ,5
5,OYO Flagship Grand Residency Near Kasi Talkies,Chennai,457,89,3413,5.1,Good ,22 ,1.3
6,Ibis Chennai OMR - An Accor Brand,Chennai,3047,366,3856,7.8,Good ,2463 ,15.6
7,Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur,Chennai,3443,413,9802,8.1,Very good ,254 ,4.7
8,Park Hyatt Chennai,Chennai,8307,1495,3852,8.8,Fabulous ,954 ,15.1
9,"Treebo Trend Elan - 4 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3439,413,10029,7.0,Good ,384 ,10.2
10,Hyatt Regency Chennai,Chennai,8499,1530,1034,7.5,Good ,1507 ,3.5
11,OYO Flagship BKM Guest House,Chennai,893,141,3692,8.4,Very good ,979 ,1.7
12,FabHotel Nestlay Rooms Airport,Chennai,3296,396,4590,8.2,Very good ,1423 ,1.6
13,Novotel Chennai Sipcot,Chennai,4098,492,14750,8.4,Very good ,2463 ,0.6
14,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,12500,2250,7609,8.1,Very good ,1828 ,6.4
15,Novotel Chennai Chamiers Road,Chennai,6794,815,10915,8.7,Fabulous ,1317 ,23.3
16,Trident Chennai,Chennai,9250,1665,7466,8.2,Very good ,2014 ,3.6
17,Radisson Blu Hotel Chennai City Centre,Chennai,6666,800,5151,8.1,Very good ,1514 ,1.6
18,Novotel Chennai OMR,Chennai,4599,552,672,6.3,Good ,127 ,7.3
19,SIU Mansion,Chennai,600,72,454,1.6,Good ,13 ,3.8
20,SPOT ON Ams Annex,Chennai,375,79,3584,8.7,Fabulous ,86 ,15.1
21,Hotel Kamar Residences and Banquets,Chennai,3200,384,16886,8.7,Fabulous ,1818 ,5.1
22,The Leela Palace Chennai,Chennai,14310,2576,2164,7.9,Good ,506 ,1.3
23,FabHotel Earth,Chennai,1932,232,2418,8.3,Very good ,1098 ,5.3
24,FabHotel Sri Krishna Residency Airport,Chennai,2159,259,2673,8.0,Very good ,1315 ,9.4
25,FabHotel Golden Swan Chennai Airport Free Pickup & Drop,Chennai,2387,286,9971,8.4,Very good ,1257 ,5.1
26,"Taj Connemara, Chennai",Chennai,8450,1521,6495,7.9,Good ,1092 ,3.9
27,"Holiday Inn Chennai OMR IT Expressway, an IHG Hotel",Chennai,5799,696,4094,8.4,Very good ,464 ,7.2
28,"Avenue 11 Boutique Residences, Poes Garden Chennai",Chennai,3655,439,11799,8.2,Very good ,321 ,12.6
29,"Feathers- A Radha Hotel, Chennai",Chennai,9999,1800,2811,5.6,Good ,20 ,3.9
30,FabHotel Prime Stalin Pleasant Park,Chennai,2510,301,2821,7.3,Good ,253 ,2.3
31,Hotel Beebiz Guindy,Chennai,2519,302,907,6.1,Good ,19 ,7
32,CENTRAL GATE,Chennai,810,97,2520,6.7,Good ,61 ,1.7
33,GRAND ELEGANT,Chennai,2250,270,4819,7.7,Good ,150 ,2.1
34,Hanu Reddy Residences Poes Garden,Chennai,4303,516,5950,7.7,Good ,723 ,2.9
35,The Madras Grand,Chennai,5313,637,4731,7.1,Good ,37 ,6.1
36,Layalee Grande Hotel Chennai,Chennai,4224,507,952,7.6,Good ,888 ,5.2
37,Broad Lands,Chennai,850,102,4704,7.2,Good ,21 ,1.4
38,Hotel TamilNadu - Mamallapuram,Chennai,4200,504,1300,8.5,Very good ,358 ,2.9
39,SM MANSION near Harbour & High court,Chennai,1161,139,5599,7.8,Good ,150 ,6.1
40,Pharos Hotels,Chennai,4999,600,3781,6.8,Good ,139 ,2.5
41,Treebo Trend Fourth Avenue,Chennai,3376,405,2577,8.2,Very good ,489 ,6.1
42,The Hydel Park - Business Class Hotel - Near Central Railway Station,Chennai,2301,276,3105,8.2,Very good ,5 ,2.5
43,FabHotel Prime Vijay Park Madhavaram,Chennai,2772,333,2577,8.4,Very good ,187 ,2.1
44,Greens Suite - Business Class Hotel - Opposite Ripon Building,Chennai,2301,276,2800,7.5,Good ,1610 ,2.9
45,ibis Chennai Sipcot - An Accor Brand,Chennai,2500,300,2243,7.1,Good ,173 ,4.6
46,Treebo Trend Eco Stay Nandanam,Chennai,2003,240,6887,7.8,Good ,658 ,3.4
47,"The Raintree, Anna Salai",Chennai,5999,888,2446,7.4,Good ,206 ,5
48,"UPAR Hotels Thoraipakkam, OMR",Chennai,2184,262,2546,7.8,Good ,891 ,1.1
49,FabHotel Blossoms Service Apartment,Chennai,2273,273,3359,6.4,Good ,1244 ,11.1
50,"Holiday Inn Express Chennai OMR Thoraipakkam, an IHG Hotel",Chennai,2999,360,3752,7.9,Good ,110 ,8.7
51,Umino Beach Resort,Chennai,3350,402,7503,6.2,Good ,2090 ,3
52,The Park Chennai,Chennai,6699,804,3926,8.5,Very good ,433 ,5.2
53,"Essentia Premier Hotel, Chennai",Chennai,3505,421,3248,7.8,Good ,178 ,6.1
54,SKM REGENCY,Chennai,2900,348,2610,7.4,Good ,249 ,2.5
55,FabHotel Skyry,Chennai,2330,280,5196,6.1,Good ,944 ,11.4
56,Clarion Hotel President,Chennai,4639,557,3043,7.8,Good ,475 ,6.1
57,FabHotel Colors Apartment,Chennai,2203,840,7660,8.6,Fabulous ,382 ,2.5
58,Taj Wellington Mews Chennai,Chennai,7000,660,5842,8.2,Very good ,1991 ,23.3
59,Vivanta Chennai IT Expressway OMR,Chennai,5500,342,5082,5.5,Good ,63 ,1.6
60,Grand Cascade Chennai,Chennai,2850,2232,12879,8.7,Fabulous ,999 ,1.4
61,Taj Coromandel,Chennai,12400,479,4530,7.5,Good ,125 ,10.5
62,La Woods Hotel,Chennai,3990,540,5256,7.2,Good ,1543 ,0.7
63,ibis Chennai City Centre - An Accor Brand,Chennai,4500,756,6815,7.3,Good ,479 ,12.3
64,Hablis Chennai,Chennai,6299,516,4900,7.2,Good ,64 ,18.5
65,Beverly Hotel,Chennai,4300,600,5690,8.1,Very good ,876 ,2.3
66,Turyaa Chennai - OMR IT Expressway,Chennai,5000,690,6194,7.4,Good ,151 ,10
67,Boulevard by Design Hotel Chennai,Chennai,5750,444,3914,7.5,Good ,199 ,6.1
68,Raaj Bhaavan Clarks Inn Chennai,Chennai,3700,214,1781,8.4,Very good ,31 ,2.4
69,FabExpress Lloyds Inn I,Chennai,1515,266,2264,8.5,Very good ,1186 ,1
70,Collection O Manimegalai Guest House,Chennai,1930,334,3097,7.7,Good ,156 ,4.1
71,FabExpress B Zone,Chennai,2784,313,3508,7.0,Good ,886 ,1
72,SUPREME STAY,Chennai,2608,900,7899,7.9,Good ,275 ,4.8
73,Le Royal Meridien Chennai,Chennai,7499,400,3900,8.3,Very good ,155 ,1.2
74,Treebo Trend Vapr Guindy Ekkatuthangal,Chennai,3330,570,4988,9.2,Superb ,222 ,5.7
75,The Saibaba Hotel,Chennai,4750,238,2199,7.3,Good ,357 ,2.5
76,Friendlystay - An Home Stay And Elite,Chennai,1980,219,2363,7.6,Good ,302 ,15
77,Skb Hotel Grand Days - Fully Vaccinated Staff,Chennai,1823,540,4643,6.7,Good ,117 ,6.1
78,The Kings Park Grand-Near US Consulate,Chennai,4499,144,1626,7.8,Good ,189 ,2.5
79,"The Dolphin Park Hotel, Virugambakkam",Chennai,1199,427,4184,8.4,Very good ,174 ,2.5
80,"Treebo Trend Pechis Castle - 5 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3554,630,5451,7.2,Good ,119 ,4.1
81,RATHNA RESIDENCY,Chennai,5250,201,1858,5.4,Good ,25 ,2
82,FabExpress Lloyds Inn,Chennai,1672,186,3171,8.6,Fabulous ,1292 ,3.1
83,FabExpress Arunachala Guest House,Chennai,1281,1890,11070,8.1,Very good ,919 ,2.8
84,Grand Chennai by GRT Hotels,Chennai,9450,1620,9129,6.6,Good ,42 ,4.6
85,Green Park Chennai,Chennai,9000,129,1370,6.5,Good ,136 ,4.3
86,The Mount Regency,Chennai,1071,299,2779,6.9,Good ,145 ,7.7
87,Hotel La Castle,Chennai,2490,289,2938,7.3,Good ,197 ,2.2
88,Treebo Trend Rithikha Inn Crest Ashok Nagar,Chennai,2409,529,4827,8.2,Very good ,420 ,5.7
89,Hotel Aadithya,Chennai,4409,418,3855,7.4,Good ,32 ,11
90,Regenta Central RS Chennai OMR SIPCOT,Chennai,3485,370,3423,6.9,Good ,194 ,4.1
91,"Treebo Trend Green City - 3 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3082,341,3271,6.3,Good ,85 ,1.1
92,Upar Hotels Cinecity Kodambakkam RAGHAVENDRA MANDAPAM,Chennai,2843,428,3808,9.0,Superb ,248 ,11.1
93,Individual villa in Velachery,Chennai,3570,238,2096,8.1,Very good ,905 ,2.1
94,Townhouse 211 Laguna Ecr Near Juhu Beach,Chennai,1700,396,5157,8.7,Fabulous ,202 ,5.3
96,Hilton Chennai,Chennai,10320,204,2103,8.8,Fabulous ,138 ,3.7
97,Stay Court - Business Class Hotel - Near Central Railway Station,Chennai,1700,403,3646,7.6,Good ,270 ,1.2
