,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
0,Hangout Dormitory For Male & Female Marol,Mumbai,824,99,923,7.3,Good ,9 ,4.6
1,Country Inn By Turtle Hotel and Resort,Mumbai,4980,598,5578,6.9,Good ,43 ,7.2
2,Country Inn & Suites By Turtle,Mumbai,5400,648,6048,7.7,Good ,145 ,2
3,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Mumbai,11250,2025,13275,8.6,Fabulous ,1800 ,7.2
4,Residency Sarovar Portico,Mumbai,5850,702,6552,7.0,Good ,508 ,2
6,FabHotel Ascot International II,Mumbai,2614,314,2928,8.0,Very good ,47 ,11.5
7,JW Marriott Mumbai Sahar Airport,Mumbai,14500,2610,17110,8.6,Fabulous ,2564 ,2.6
8,Hotel Ariana Residency,Mumbai,5406,649,6055,6.9,Good ,377 ,2.9
9,Country Inn by UMRB,Mumbai,4590,551,5141,6.6,Good ,7 ,3
10,Hotel Icon International Airport Mumbai,Mumbai,2268,272,2540,6.3,Good ,20 ,7.4
11,Four Seasons Hotel Mumbai,Mumbai,20000,3600,23600,8.5,Very good ,2200 ,1.5
12,"Holiday Inn Mumbai International Airport, an IHG Hotel",Mumbai,10249,1845,12094,7.9,Good ,1675 ,7.2
13,FabHotel RK International,Mumbai,4207,505,4712,7.4,Good ,662 ,2
14,Arts International,Mumbai,2840,341,3181,8.1,Very good ,141 ,3.1
15,"Treebo Trend Prince, Mumbai",Mumbai,2982,358,3340,5.8,Good ,90 ,10.9
16,FabExpress Highway Residency,Mumbai,2090,251,2341,6.4,Good ,69 ,3.2
17,Taj Santacruz,Mumbai,15500,2790,18290,8.8,Fabulous ,3494 ,1.3
18,"The Ambassador, Marine Drive, Mumbai",Mumbai,8399,1512,9911,7.7,Good ,299 ,4.5
19,Trident Nariman Point,Mumbai,15750,2835,18585,8.7,Fabulous ,4077 ,1
20,Aster Hotel Near Mumbai Airport,Mumbai,2186,262,2448,7.9,Good ,176 ,3.4
21,Hotel Golden Park NESCO-Exhibitions Centre,Mumbai,2249,270,2519,5.8,Good ,108 ,3.7
22,T24 Retro,Mumbai,4099,492,4591,7.5,Good ,173 ,3.1
23,Hotel A Suites,Mumbai,2599,312,2911,6.9,Good ,159 ,2.8
24,Hotel Malad Inn opposite Malad Railway Station,Mumbai,3526,423,3949,7.5,Good ,91 ,16.8
25,"Treebo Trend Freedom Star, Vile Parle",Mumbai,3598,432,4030,6.7,Good ,122 ,2.4
26,JW Marriott Mumbai Juhu,Mumbai,18000,3240,21240,8.4,Very good ,1696 ,17.6
27,FabHotel Arc Palace,Mumbai,2357,336,2693,7.5,Good ,17 ,2.8
28,Hotel Bawa International,Mumbai,6750,810,7560,7.2,Good ,1081 ,3.2
29,Regent Hotel Andheri,Mumbai,5333,640,5973,7.6,Good ,127 ,7.9
30,Arnna Hotel- Goregaon East,Mumbai,4990,599,5589,7.9,Good ,216 ,3.4
31,"One Bedroom Apartment by Kind Home Regent Hills, Mumbai Powai",Mumbai,6999,840,7839,9.0,Superb ,3 ,2.9
32,Home2 Renaissance Club,Mumbai,3960,475,4435,7.5,Good ,17 ,2.8
33,The Cattleya,Mumbai,2700,324,3024,6.9,Good ,50 ,12.5
34,"ITC Maratha, a Luxury Collection Hotel, Mumbai",Mumbai,13300,2394,15694,8.2,Very good ,3196 ,4.1
35,FabExpress Alive,Mumbai,3237,388,3625,7.0,Good ,25 ,2
36,The Leela Mumbai,Mumbai,15000,2700,17700,8.6,Fabulous ,3140 ,6.1
37,Hotel Tavakkal Bandra Kurla Mumbai,Mumbai,1875,225,2100,7.8,Good ,350 ,27.3
38,Hotel Linkway,Mumbai,3000,360,3360,8.3,Very good ,160 ,3.4
39,Royal Hometel Suites,Mumbai,4500,540,5040,7.6,Good ,707 ,2.8
40,Trident Bandra Kurla,Mumbai,20750,3735,24485,8.8,Fabulous ,3669 ,4.3
41,FabHotel Liwa International,Mumbai,3240,389,3629,7.5,Good ,148 ,9.1
42,"Hotel Mumbai House Andheri East, Mumbai",Mumbai,4300,516,4816,7.1,Good ,49 ,5.9
43,Hotel Bawa Regency,Mumbai,6350,762,7112,7.7,Good ,464 ,7.9
44,"Home2 Suites and Service Apartments, Mumbai Airport",Mumbai,4000,480,4480,7.9,Good ,402 ,3.9
45,The Westin Mumbai Garden City,Mumbai,12000,2160,14160,8.6,Fabulous ,1072 ,3.2
46,Hilton Mumbai International Airport Hotel,Mumbai,9500,1710,11210,7.8,Good ,1870 ,6
47,FabExpress Colaba Grand,Mumbai,3063,368,3431,6.7,Good ,212 ,1.8
48,President - IHCL SeleQtions,Mumbai,12000,2160,14160,8.2,Very good ,1676 ,3.7
49,Grand Hyatt Mumbai Hotel and Residences,Mumbai,18000,3240,21240,8.2,Very good ,2008 ,1.1
50,Hotel Auris,Mumbai,8399,1512,9911,7.8,Good ,79 ,4.6
51,The St. Regis Mumbai,Mumbai,17500,3150,20650,8.7,Fabulous ,1582 ,1.4
